sourceURI,sourceLabel,sourceLabelLanguage,matchURI,targetLabel,targetURI,sub_term_en,aat_sub_url
https://ariadne-infrastructure.eu/aocat/Concept/SND/CIRKEL,cirkel,sv,http://www.w3.org/2004/02/skos/core#closeMatch,circles (plane figures),http://vocab.getty.edu/page/aat/300055627,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/KRIGARE,krigare,sv,http://www.w3.org/2004/02/skos/core#closeMatch,warriors,http://vocab.getty.edu/page/aat/300261945,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/OSPECIFICERAD%20M%C3%84NNISKA,ospecificerad människa,sv,http://www.w3.org/2004/02/skos/core#closeMatch,anthropomorphic,http://vocab.getty.edu/page/aat/300010335,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/OSPECIFICERAD%20SKEPP,ospecificerad skepp,sv,http://www.w3.org/2004/02/skos/core#closeMatch,boats,http://vocab.getty.edu/page/aat/300178749,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/OSPECIFICERAT%20VAPEN,ospecificerat vapen,sv,http://www.w3.org/2004/02/skos/core#closeMatch,weapons,http://vocab.getty.edu/page/aat/300036926,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/HJULKORS,hjulkors,sv,http://www.w3.org/2004/02/skos/core#exactMatch,wheel crosses (four-spoke crosses),http://vocab.getty.edu/page/aat/300165461,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/OXE,oxe,sv,http://www.w3.org/2004/02/skos/core#exactMatch,oxen,http://vocab.getty.edu/page/aat/300250282,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/OSPECIFICERAT%20DJUR,ospecificerat djur,sv,http://www.w3.org/2004/02/skos/core#closeMatch,animals (general term),http://vocab.getty.edu/page/aat/300249525,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/H%C3%84ST,häst,sv,http://www.w3.org/2004/02/skos/core#closeMatch,Equus caballus (species),http://vocab.getty.edu/page/aat/300250148,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/HJORT,hjort,sv,http://www.w3.org/2004/02/skos/core#closeMatch,Cervidae (family),http://vocab.getty.edu/page/aat/300250308,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/KONCENTRISK%20CIRKEL,koncentrisk cirkel,sv,http://www.w3.org/2004/02/skos/core#exactMatch,concentric,http://vocab.getty.edu/page/aat/300010274,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/SK%C3%96LDB%C3%84RARE,sköldbärare,sv,http://www.w3.org/2004/02/skos/core#broadMatch,anthropomorphic,http://vocab.getty.edu/page/aat/300010335,shields (armor),http://vocab.getty.edu/page/aat/300036869
https://ariadne-infrastructure.eu/aocat/Concept/SND/F%C3%85GEL,fågel,sv,http://www.w3.org/2004/02/skos/core#closeMatch,birds (motifs),http://vocab.getty.edu/page/aat/300375751,,
https://ariadne-infrastructure.eu/aocat/Concept/SND/SPJUTB%C3%84RARE,spjutbärare,sv,http://www.w3.org/2004/02/skos/core#broadMatch,anthropomorphic,http://vocab.getty.edu/page/aat/300010335,spears (weapons),http://vocab.getty.edu/page/aat/300037038
https://ariadne-infrastructure.eu/aocat/Concept/SND/SKEPP%20F%C3%96RROMERSK%20J%C3%84RN%C3%85LDER%20500-0%20FKR,skepp förromersk järnålder 500-0 fkr,sv,http://www.w3.org/2004/02/skos/core#broadMatch,boats,http://vocab.getty.edu/page/aat/300178749,Iron Age,http://vocab.getty.edu/page/aat/300019279
https://ariadne-infrastructure.eu/aocat/Concept/SND/FISKESCEN,fiskescen,sv,http://www.w3.org/2004/02/skos/core#broadMatch,fishing,http://vocab.getty.edu/page/aat/300239470,,
